Problem,Token,POS,Shape,Tag
4,",",PUNCT,",",I-e_1
4,d,X,x,I-e_1
4,",",PUNCT,",",I-e_1
4,e,PUNCT,x,I-e_1
4,",",PUNCT,",",I-e_1
4,f,X,x,I-e_1
4,",",PUNCT,",",I-e_1
4,g,NOUN,x,I-e_1
4,",",PUNCT,",",I-e_1
4,h,PUNCT,x,I-e_1
4,),PUNCT,),I-e_1
4,A,NOUN,X,B-e_1
4,=,SYM,=,I-e_1
4,(,PUNCT,(,I-e_1
4,d,X,x,I-e_1
4,",",PUNCT,",",I-e_1
4,g,NOUN,x,I-e_1
4,",",PUNCT,",",I-e_1
4,h,NOUN,x,I-e_1
4,),PUNCT,),I-e_1
4,B,NOUN,X,B-e_1
4,=,SYM,=,I-e_1
4,(,PUNCT,(,I-e_1
4,a,DET,x,I-e_1
4,",",PUNCT,",",I-e_1
4,g,NOUN,x,I-e_1
4,",",PUNCT,",",I-e_1
4,h,NOUN,x,I-e_1
4,),PUNCT,),I-e_1
4,C,NOUN,X,B-e_1
4,=,PUNCT,=,I-e_1
4,(,PUNCT,(,I-e_1
4,a,DET,x,I-e_1
4,",",PUNCT,",",I-e_1
4,b,NOUN,x,I-e_1
4,",",PUNCT,",",I-e_1
4,c,NOUN,x,I-e_1
4,",",PUNCT,",",I-e_1
4,e,NOUN,x,I-e_1
4,",",PUNCT,",",I-e_1
4,f,PUNCT,x,I-e_1
4,),PUNCT,),I-e_1
5,ξ,PUNCT,x,B-e_1
5,=,X,=,I-e_1
5,{,PUNCT,{,I-e_1
5,2,NUM,d,I-e_1
5,",",PUNCT,",",I-e_1
5,3,NUM,d,I-e_1
5,",",PUNCT,",",I-e_1
5,4,NUM,d,I-e_1
5,",",PUNCT,",",I-e_1
5,5,NUM,d,I-e_1
5,",",PUNCT,",",I-e_1
5,6,NUM,d,I-e_1
5,",",PUNCT,",",I-e_1
5,7,NUM,d,I-e_1
5,",",PUNCT,",",I-e_1
5,8,NUM,d,I-e_1
5,",",PUNCT,",",I-e_1
5,9,NUM,d,I-e_1
5,",",PUNCT,",",I-e_1
5,10,NUM,dd,I-e_1
5,",",PUNCT,",",I-e_1
5,11,NUM,dd,I-e_1
5,",",PUNCT,",",I-e_1
5,12,NUM,dd,I-e_1
5,},PUNCT,},I-e_1
5,A,NOUN,X,B-e_1
5,=,SYM,=,I-e_1
5,{,PUNCT,{,I-e_1
5,x,NOUN,x,I-e_1
5,:,PUNCT,:,I-e_1
5,x,PUNCT,x,I-e_1
5,is,VERB,xx,I-e_1
5,an,DET,xx,I-e_1
5,integer,NOUN,xxxx,I-e_1
5,},PUNCT,},I-e_1
5,B,NOUN,X,B-e_1
5,=,SYM,=,I-e_1
5,{,PUNCT,{,I-e_1
5,x,NOUN,x,I-e_1
5,:,PUNCT,:,I-e_1
5,x,PUNCT,x,I-e_1
5,is,VERB,xx,I-e_1
5,a,DET,x,I-e_1
5,factor,NOUN,xxxx,I-e_1
5,of,ADP,xx,I-e_1
5,36,NUM,dd,I-e_1
5,},PUNCT,},I-e_1
5,C,NOUN,X,B-e_1
5,=,PUNCT,=,I-e_1
5,{,PUNCT,{,I-e_1
5,x,NOUN,x,I-e_1
5,:,PUNCT,:,I-e_1
5,x,PUNCT,x,I-e_1
5,is,VERB,xx,I-e_1
5,not,ADV,xxx,I-e_1
5,a,DET,x,I-e_1
5,prime,ADJ,xxxx,I-e_1
5,number,NOUN,xxxx,I-e_1
5,},PUNCT,},I-e_1
5,(,PUNCT,(,O
5,a,PUNCT,x,O
5,),PUNCT,),O
5,List,NOUN,Xxxx,O
5,the,DET,xxx,O
5,elements,NOUN,xxxx,O
5,of,ADP,xx,O
5,B,NOUN,X,O
5,(,PUNCT,(,O
5,1,NUM,d,O
5,),PUNCT,),O
5,(,PUNCT,(,O
5,b,PUNCT,x,O
5,),PUNCT,),O
5,List,VERB,Xxxx,O
5,the,DET,xxx,O
5,elements,NOUN,xxxx,O
5,of,ADP,xx,O
5,B,PROPN,X,B-e_1
5,∩,VERB,∩,I-e_1
5,C,PROPN,X,I-e_1
5,(,PUNCT,(,O
5,1,NUM,d,O
5,),PUNCT,),O
5,(,PUNCT,(,O
5,c,PUNCT,x,O
5,),PUNCT,),O
5,Find,VERB,Xxxx,O
5,n,CCONJ,x,B-e_1
5,(,PUNCT,(,I-e_1
5,[,PUNCT,[,I-e_1
5,A,DET,X,I-e_1
5,∩,PROPN,∩,I-e_1
5,B,PROPN,X,I-e_1
5,],PUNCT,],I-e_1
5,∩,PROPN,∩,I-e_1
5,[,PUNCT,[,I-e_1
5,B,PROPN,X,I-e_1
5,∩,VERB,∩,I-e_1
5,C,NOUN,X,I-e_1
5,’,PUNCT,’,I-e_1
5,],PUNCT,],I-e_1
5,),PUNCT,),I-e_1
5,(,PUNCT,(,O
5,3,PUNCT,d,O
5,),PUNCT,),O
6,(,PUNCT,(,O
6,b,PUNCT,x,O
6,),PUNCT,),O
6,The,DET,Xxx,O
6,set,NOUN,xxx,O
6,A,DET,X,B-e_1
6,consists,NOUN,xxxx,O
6,of,ADP,xx,O
6,the,DET,xxx,O
6,points,NOUN,xxxx,O
6,whose,ADJ,xxxx,O
6,coordinates,NOUN,xxxx,O
6,(,PUNCT,(,B-e_1
6,x,PUNCT,x,I-e_1
6,",",PUNCT,",",I-e_1
6,y,PRON,x,I-e_1
6,),PUNCT,),I-e_1
6,are,VERB,xxx,O
6,given,VERB,xxxx,O
6,by,ADP,xx,O
6,A,NOUN,X,B-e_1
6,=,SYM,=,I-e_1
6,{,PUNCT,{,I-e_1
6,(,PUNCT,(,I-e_1
6,x,PUNCT,x,I-e_1
6,",",PUNCT,",",I-e_1
6,y,PRON,x,I-e_1
6,),PUNCT,),I-e_1
6,:,PUNCT,:,I-e_1
6,y,PRON,x,I-e_1
6,=,SYM,=,I-e_1
6,2x,NUM,dx,I-e_1
6,+,SYM,+,I-e_1
6,1,NUM,d,I-e_1
6,},PUNCT,},I-e_1
6,.,PUNCT,.,O
6,The,DET,Xxx,O
6,points,NOUN,xxxx,O
6,in,ADP,xx,O
6,set,NOUN,xxx,O
6,B,NOUN,X,O
6,are,VERB,xxx,O
6,given,VERB,xxxx,O
6,by,ADP,xx,O
6,B,NOUN,X,B-e_1
6,=,SYM,=,I-e_1
6,{,PUNCT,{,I-e_1
6,(,PUNCT,(,I-e_1
6,0,NUM,d,I-e_1
6,",",PUNCT,",",I-e_1
6,0,NUM,d,I-e_1
6,),PUNCT,),I-e_1
6,",",PUNCT,",",I-e_1
6,(,PUNCT,(,I-e_1
6,0,NUM,d,I-e_1
6,",",PUNCT,",",I-e_1
6,1,NUM,d,I-e_1
6,),PUNCT,),I-e_1
6,",",PUNCT,",",I-e_1
6,(,PUNCT,(,I-e_1
6,1,NUM,d,I-e_1
6,",",PUNCT,",",I-e_1
6,2,NUM,d,I-e_1
6,),PUNCT,),I-e_1
6,",",PUNCT,",",I-e_1
6,(,PUNCT,(,I-e_1
6,2,NUM,d,I-e_1
6,",",PUNCT,",",I-e_1
6,5,NUM,d,I-e_1
6,),PUNCT,),I-e_1
6,",",PUNCT,",",I-e_1
6,(,PUNCT,(,I-e_1
6,3,NUM,d,I-e_1
6,",",PUNCT,",",I-e_1
6,6,NUM,d,I-e_1
6,),PUNCT,),I-e_1
6,),PUNCT,),I-e_1
6,.,PUNCT,.,O
6,Find,VERB,Xxxx,O
6,(,PUNCT,(,O
6,i,PUNCT,x,O
6,),PUNCT,),O
6,n,CCONJ,x,B-e_1
6,(,PUNCT,(,I-e_1
6,B,NOUN,X,I-e_1
6,),PUNCT,),I-e_1
6,",",PUNCT,",",O
6,(,PUNCT,(,O
6,ii,PUNCT,xx,O
6,),PUNCT,),O
6,A,DET,X,B-e_1
6,∩,ADJ,∩,I-e_1
6,B,NOUN,X,I-e_1
6,.,PUNCT,.,O
6,Answer,NOUN,Xxxxx,O
6,(,PUNCT,(,O
6,b,NOUN,x,O
6,),PUNCT,),O
6,(,PUNCT,(,O
6,i,PUNCT,x,O
6,),PUNCT,),O
6,n,CCONJ,x,B-e_1
6,(,PUNCT,(,I-e_1
6,B,NOUN,X,I-e_1
6,),PUNCT,),I-e_1
6,=,SYM,=,I-e_1
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,[,PUNCT,[,O
6,1,PUNCT,d,O
6,],PUNCT,],O
6,(,PUNCT,(,O
6,i,NOUN,x,O
6,),PUNCT,),O
6,{,PUNCT,{,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,.,PUNCT,.,O
6,},PUNCT,},O
6,[,PUNCT,[,O
6,1,NUM,d,O
6,],PUNCT,],O
7,If,ADP,Xx,O
7,",",PUNCT,",",O
7,A,NOUN,X,B-e_1
7,=,SYM,=,I-e_1
7,{,PUNCT,{,I-e_1
7,integer,ADJ,xxxx,I-e_1
7,multiples,NOUN,xxxx,I-e_1
7,of,ADP,xx,I-e_1
7,3,NUM,d,I-e_1
7,},PUNCT,},I-e_1
7,and,CCONJ,xxx,O
7,B,NOUN,X,B-e_1
7,=,SYM,=,I-e_1
7,{,PUNCT,{,I-e_1
7,integer,ADJ,xxxx,I-e_1
7,multiples,NOUN,xxxx,I-e_1
7,of,ADP,xx,I-e_1
7,2,NUM,d,I-e_1
7,},PUNCT,},I-e_1
7,",",PUNCT,",",O
7,write,VERB,xxxx,O
7,down,PART,xxxx,O
7,one,NUM,xxx,O
7,element,NOUN,xxxx,O
7,that,ADJ,xxxx,O
7,belongs,VERB,xxxx,O
7,to,ADP,xx,O
7,the,DET,xxx,O
7,set,NOUN,xxx,O
7,(,PUNCT,(,B-e_1
7,A,DET,X,I-e_1
7,∩,ADJ,∩,I-e_1
7,B,NOUN,X,I-e_1
7,),PUNCT,),I-e_1
8,Given,VERB,Xxxxx,O
8,the,DET,xxx,O
8,universal,ADJ,xxxx,O
8,set,NOUN,xxx,O
8,U,NOUN,X,B-e_1
8,=,PUNCT,=,I-e_1
8,{,PUNCT,{,I-e_1
8,1,NUM,d,I-e_1
8,",",PUNCT,",",I-e_1
8,2,NUM,d,I-e_1
8,",",PUNCT,",",I-e_1
8,3,NUM,d,I-e_1
8,",",PUNCT,",",I-e_1
8,…,PUNCT,…,I-e_1
8,",",PUNCT,",",I-e_1
8,9,NUM,d,I-e_1
8,},PUNCT,},I-e_1
8,and,CCONJ,xxx,O
8,the,DET,xxx,O
8,sets,NOUN,xxxx,O
8,A,NOUN,X,B-e_1
8,=,SYM,=,I-e_1
8,{,PUNCT,{,I-e_1
8,1,NUM,d,I-e_1
8,",",PUNCT,",",I-e_1
8,2,NUM,d,I-e_1
8,",",PUNCT,",",I-e_1
8,3,NUM,d,I-e_1
8,",",PUNCT,",",I-e_1
8,4,NUM,d,I-e_1
8,",",PUNCT,",",I-e_1
8,5,NUM,d,I-e_1
8,},PUNCT,},I-e_1
8,;,PUNCT,;,O
8,B,NOUN,X,B-e_1
8,=,X,=,I-e_1
8,{,PUNCT,{,I-e_1
8,4,NUM,d,I-e_1
8,",",PUNCT,",",I-e_1
8,5,NUM,d,I-e_1
8,",",PUNCT,",",I-e_1
8,6,NUM,d,I-e_1
8,",",PUNCT,",",I-e_1
8,7,NUM,d,I-e_1
8,},PUNCT,},I-e_1
8,;,PUNCT,;,O
8,C,NOUN,X,B-e_1
8,=,PUNCT,=,I-e_1
8,{,PUNCT,{,I-e_1
8,1,NUM,d,I-e_1
8,",",PUNCT,",",I-e_1
8,3,NUM,d,I-e_1
8,",",PUNCT,",",I-e_1
8,5,NUM,d,I-e_1
8,",",PUNCT,",",I-e_1
8,7,NUM,d,I-e_1
8,",",PUNCT,",",I-e_1
8,9,NUM,d,I-e_1
8,},PUNCT,},I-e_1
8,;,PUNCT,;,O
8,D,NOUN,X,B-e_1
8,=,PUNCT,=,I-e_1
8,{,PUNCT,{,I-e_1
8,2,NUM,d,I-e_1
8,",",PUNCT,",",I-e_1
8,4,NUM,d,I-e_1
8,",",PUNCT,",",I-e_1
8,6,NUM,d,I-e_1
8,",",PUNCT,",",I-e_1
8,8,NUM,d,I-e_1
8,},PUNCT,},I-e_1
8,.,PUNCT,.,I-e_1
8,Find,VERB,Xxxx,O
8,(,PUNCT,(,O
8,i,PUNCT,x,O
8,),PUNCT,),O
8,B,NOUN,X,B-e_1
8,-,PUNCT,-,I-e_1
8,A,NOUN,X,I-e_1
8,(,PUNCT,(,O
8,ii,PROPN,xx,O
8,),PUNCT,),O
8,(,PUNCT,(,B-e_1
8,A,NOUN,X,I-e_1
8,-,SYM,-,I-e_1
8,D,NOUN,X,I-e_1
8,),PUNCT,),I-e_1
8,c,NOUN,x,I-e_1
8,(,PUNCT,(,O
8,iii,NOUN,xxx,O
8,),PUNCT,),O
8,(,PUNCT,(,B-e_1
8,A,DET,X,I-e_1
8,∩,VERB,∩,I-e_1
8,C,PROPN,X,I-e_1
8,),PUNCT,),I-e_1
8,\,NOUN,\,I-e_1
8,B,NOUN,X,I-e_1
9,A,DET,X,B-e_1
9,=,SYM,=,I-e_1
9,{,PUNCT,{,I-e_1
9,letters,NOUN,xxxx,I-e_1
9,of,ADP,xx,I-e_1
9,“,PUNCT,“,I-e_1
9,SAWANATA,PROPN,XXXX,I-e_1
9,WADANAK,PROPN,XXXX,I-e_1
9,”,PUNCT,”,I-e_1
9,},PUNCT,},I-e_1
9,B,NOUN,X,B-e_1
9,=,SYM,=,I-e_1
9,{,PUNCT,{,I-e_1
9,letters,NOUN,xxxx,I-e_1
9,of,ADP,xx,I-e_1
9,“,PUNCT,“,I-e_1
9,RASATA,PROPN,XXXX,I-e_1
9,RASAK,NOUN,XXXX,I-e_1
9,”,PUNCT,”,I-e_1
9,},PUNCT,},I-e_1
9,i,NOUN,x,O
9,),PUNCT,),O
9,List,VERB,Xxxx,O
9,up,PART,xx,O
9,all,ADJ,xxx,O
9,the,DET,xxx,O
9,elements,NOUN,xxxx,O
9,of,ADP,xx,O
9,sets,NOUN,xxxx,O
9,A,PROPN,X,B-e_1
9,and,CCONJ,xxx,O
9,B,NOUN,X,B-e_1
9,.,PUNCT,.,O
9,ii,PUNCT,xx,O
9,),PUNCT,),O
9,Show,VERB,Xxxx,O
9,the,DET,xxx,O
9,sets,NOUN,xxxx,O
9,A,NOUN,X,B-e_1
9,and,CCONJ,xxx,O
9,B,NOUN,X,B-e_1
9,in,ADP,xx,O
9,a,DET,x,O
9,Venn,PROPN,Xxxx,O
9,Diagram,PROPN,Xxxxx,O
9,.,PUNCT,.,O
9,iii,PUNCT,xxx,O
9,),PUNCT,),O
9,List,VERB,Xxxx,O
9,up,PART,xx,O
9,the,DET,xxx,O
9,elements,NOUN,xxxx,O
9,of,ADP,xx,O
9,(,PUNCT,(,B-e_1
9,A,DET,X,I-e_1
9,Ꞌ,NOUN,X,I-e_1
9,∩,VERB,∩,I-e_1
9,B,PROPN,X,I-e_1
9,),PUNCT,),I-e_1
9,iv,PUNCT,xx,O
9,),PUNCT,),O
9,What,ADJ,Xxxx,O
9,kind,NOUN,xxxx,O
9,of,ADP,xx,O
9,a,DET,x,O
9,set,NOUN,xxx,O
9,is,VERB,xx,O
9,(,PUNCT,(,B-e_1
9,A,DET,X,I-e_1
9,∪,NOUN,∪,I-e_1
9,B,NOUN,X,I-e_1
9,),PUNCT,),I-e_1
9,?,PUNCT,?,O
9,v,PUNCT,x,O
9,),PUNCT,),O
9,Find,VERB,Xxxx,O
9,out,PART,xxx,O
9,p,NOUN,x,B-e_1
9,(,PUNCT,(,I-e_1
9,A,DET,X,I-e_1
9,∩,ADJ,∩,I-e_1
9,B,NOUN,X,I-e_1
9,),PUNCT,),I-e_1
10,(,PUNCT,(,O
10,a,DET,x,O
10,),PUNCT,),O
10,(,PUNCT,(,O
10,i,PUNCT,x,O
10,),PUNCT,),O
10,Place,VERB,Xxxxx,O
10,each,DET,xxxx,O
10,of,ADP,xx,O
10,the,DET,xxx,O
10,whole,ADJ,xxxx,O
10,numbers,NOUN,xxxx,O
10,1,NUM,d,B-e_1
10,",",PUNCT,",",O
10,2,NUM,d,B-e_1
10,",",PUNCT,",",O
10,3,NUM,d,B-e_1
10,",",PUNCT,",",O
10,4,NUM,d,B-e_1
10,",",PUNCT,",",O
10,5,NUM,d,B-e_1
10,",",PUNCT,",",O
10,6,NUM,d,B-e_1
10,",",PUNCT,",",O
10,7,NUM,d,B-e_1
10,",",PUNCT,",",O
10,8,NUM,d,B-e_1
10,in,ADP,xx,O
10,the,DET,xxx,O
10,correct,ADJ,xxxx,O
10,positions,NOUN,xxxx,O
10,in,ADP,xx,O
10,the,DET,xxx,O
10,Venn,PROPN,Xxxx,O
10,diagram,NOUN,xxxx,O
10,.,PUNCT,.,O
10,<,X,<,O
10,Diagram,PROPN,Xxxxx,O
10,>,X,>,O
10,(,PUNCT,(,O
10,ii,PUNCT,xx,O
10,),PUNCT,),O
10,A,DET,X,O
10,whole,ADJ,xxxx,O
10,number,NOUN,xxxx,O
10,is,VERB,xx,O
10,selected,VERB,xxxx,O
10,at,ADP,xx,O
10,random,ADJ,xxxx,O
10,from,ADP,xxxx,O
10,the,DET,xxx,O
10,set,NOUN,xxx,O
10,{,PUNCT,{,B-e_1
10,1,NUM,d,I-e_1
10,",",PUNCT,",",I-e_1
10,2,NUM,d,I-e_1
10,",",PUNCT,",",I-e_1
10,3,NUM,d,I-e_1
10,",",PUNCT,",",I-e_1
10,4,NUM,d,I-e_1
10,",",PUNCT,",",I-e_1
10,5,NUM,d,I-e_1
10,",",PUNCT,",",I-e_1
10,6,NUM,d,I-e_1
10,",",PUNCT,",",I-e_1
10,7,NUM,d,I-e_1
10,",",PUNCT,",",I-e_1
10,8,NUM,d,I-e_1
10,},PUNCT,},I-e_1
10,.,PUNCT,.,O
10,Find,VERB,Xxxx,O
10,the,DET,xxx,O
10,probability,NOUN,xxxx,O
10,that,ADP,xxxx,O
10,the,DET,xxx,O
10,number,NOUN,xxxx,O
10,selected,VERB,xxxx,O
